SOURCE,geonames_ID,Name1,Name2,Name3,lat,long
geonames,291589,Jazīrat al Ma‘āshī,Jazirat al Ma`ashi,"Jazirat al Ma`ashi,Jazīrat al Ma‘āshī,Jeziret al-Ma'ashi,Jezīret al-Ma’āshī",23.83333,51.83333
geonames,290772,Jazīrat Shuwayhāt,Jazirat Shuwayhat,"Jazirat Mashat,Jazirat Showayhat,Jazirat Shuwayhat,Jazīrat Mashat,Jazīrat Showayhāt,Jazīrat Shuwayhāt,Shuwaihat,Shuwaihāt,Shuweihat,Shuweihāt",24.11391,52.43971
geonames,291381,Muhammalīyah,Muhammaliyah,"Al Mahammaliyah,Jazirat Muhammaliyah,Jazīrat Muḩammalīyah,Mahamaliya,Mehammaliyya,Mehammaliyyah,Muhammaliya,Muhammaliyah,Muhammalīyah",24.11616,51.89603
geonames,292811,Al Khuşayfah,Al Khusayfah,"Al Khusayfah,Al Khuşayfah,Khesaifa,Khesaifah,Khusaifah,Khusayfah,Khuşayfah",24.12387,53.27505
geonames,292604,Az Zabbūt,Az Zabbut,"Az Zabbut,Az Zabbūt,Jazirat Zabut,Jazīrat Zabut,Zabbut,Zabbūt",24.13324,52.43557
geonames,292534,Qaşşār Ba‘yā,Qassar Ba`ya,"Kassar al Baya,Kassār al Baya,Qasar al Ba`aya,Qasr Ba`ja',Qassar Ba`ya,Qasār al Ba‘ayā,Qaşr Ba‘jā’,Qaşār al Ba‘ayā,Qaşşār Ba‘yā",24.14083,51.80778
geonames,291784,Judayrah,Judayrah,"Bandar Judaira,Judayrah",24.15002,51.99335
geonames,290649,Thumayrīyah,Thumayriyah,"Themairiyya,Themeiriyyah,Thimairiyah,Thumayriyah,Thumayrīyah",24.15033,53.01689
geonames,292769,Al Qanţūr,Al Qantur,"Al Qantur,Al Qanţūr,Al-Gantur,Al-Ganţūr,Al-Ghantur,Al-Ghantūr,Jezirat Kantur,Jezīrat Kantur,Qantar Island,Qantur,Qanţūr",24.15339,54.07769
geonames,291812,Jumaylah,Jumaylah,"Halat Jamilah,Halet Jamila,Hālet Jamīla,Jumaylah,Ḩālat Jamīlah",24.15473,54.03612
geonames,290467,Yāsāt Şaghīrah,Yasat Saghirah,"Yasat Saghirah,Yāsāt Şaghīrah",24.15912,52.0007
geonames,292335,Bū Shiyārah,Bu Shiyarah,"Bu Shiyarah,Bū Shiyārah,Sawami`,Şawāmi‘",24.1598,53.04958
OSM,node/1173994628,Al Qantur Island,Al Qantur Island,,24.168967,54.0922112
geonames,292374,Bū Khurayj,Bu Khurayj,"Bu Kharaij,Bu Khurayj,Bū Khurayj",24.17227,53.0884
geonames,290721,Jazīrat aş Şīlīyā,Jazirat as Siliya,"Jazirat Sulayyah,Jazirat as Siliya,Jazīrat aş Şīlīyā,Jazīrat Şulayyah",24.18286,52.8921
OSM,relation/13019431,Jazirat ar Rafiq,جزيرة الرفيق,جزيرة الرفيق,24.1831659,54.040138
geonames,292654,As Salālī,As Salali,"As Salali,As Salālī,Jazirat as Salali,Jazīrat as Salālī,Salali",24.18333,54
geonames,292695,Jazīrat ar Rafīq,Jazirat ar Rafiq,"Ar Rafiq,Ar Rafīq,Ar Rufayq,Jazirat ar Rafiq,Jazīrat ar Rafīq",24.1852,54.04899
OSM,relation/12902864,Al Yas Al Safli Island,جزيرة الياس السافلي,جزيرة الياس السافلي,24.1865663,51.9945373
geonames,290468,Al Yāsāt as Suflá,Al Yasat as Sufla,"Al Yasat as Sufla,Al Yāsāt as Suflá,Yasat Safli,Yāsāt Saflī",24.18675,51.9948
geonames,291353,Muqayshiţ,Muqayshit,"Megaishit,Megeshit,Megeshiţ,Muqayshit,Muqayshiţ",24.18908,53.75226
geonames,292832,Al Jirāb,Al Jirab,"Al Jirab,Al Jirāb,Jirab,Jirāb",24.19038,53.89637
OSM,way/329321866,,Şalāḩah,,24.1935375,53.5379487
geonames,292336,Jazīrat Abū as Sayāyīf,Jazirat Abu as Sayayif,"Bu Shara,Bu Sharah,Bu Shāra,Bū Shārah,Jazirat Abu as Sayayif,Jazīrat Abū as Sayāyīf",24.19446,54.08477
OSM,relation/13019432,Jabirat Abu as Sayarif,Jabirat Abu as Sayarif,,24.1946439,54.0804391
geonames,292283,Daqalah,Daqalah,"Dagallah,Daqalah,Deqala,Deqalah,Jazirat Daqalah,Jazīrat Daqalah",24.19506,52.94717
geonames,290952,Şalāḩah,Salahah,"As Salahah,Aş Şalāḩah,Salahah,Salala,Şalāḩah",24.1955,53.53829
OSM,relation/9326281,Abu Al Abyad Island,جزيرة أبو الأبيض,جزيرة أبو الأبيض,24.1966989,53.7979027
geonames,291998,Al Ḩamar,Al Hamar,"Al Hamar,Al Humr,Al Ḩamar,Al Ḩumr,Al-Homor,Al-Humur,Al-Ḥumur,Djezirat al Hamar,Jazirat al Hamar,Jazīrat al Ḩamar",24.2009,52.78888
geonames,292740,Al Yāsāt,Al Yasat,"Al Ya'sin,Al Yasat,Al Yasayn,Al Yāsayn,Al Yāsāt,Al Yā’sīn,Jazair al Yasat,Jazair al Yāsāt,Jezirat Yasat,Jezirat Yásat",24.20557,51.99808
OSM,way/13649394,,Janānah,,24.2061776,53.4064457
geonames,291811,Janānah,Jananah,"Al Djunaina,Al Junaina,Al Junaynah,Janana,Jananah,Janāna,Janānah,Junanah,Juneina",24.20722,53.40528
geonames,292997,Abū al Abyaḑ,Abu al Abyad,"Abu al Aby,Abu al Abyad,Abu-ehl'-Ab'jad,Abū al Aby,Abū al Abyaḑ,Al Jirab,Al Jirāb,Jazirat Abu al Abyadh,Jazirat Abul Abyad,Jazīrat Abu al Abyadh,Jazīrat Abūl Abyaḑ,Jezirat Abul Abyadh,Magayshit,Maqaishat Island,Megaishit,Mukayshit,Mukaysẖiṭ,Muqayshit,Muqayshiţ,Абу-эль-Абьяд",24.20796,53.81001
OSM,relation/13019433,,Qassabi Island,,24.2104352,54.1008569
geonames,291165,Qaşşābī,Qassabi,"Gassabi,Gassābi,Jassabi,Jaşşābī,Qassabi,Qaşşābī,Qusabi,Quşābī,Umm al Majarib,Umm al Majārib",24.21093,54.1017
